food,meal,diet,calories,protein,carbs,fat,fiber
Mushroom Soup + Garlic Bread (2 pcs),dinner,vegetarian,320,10,38,14,3
Tomato Soup + Grilled Paneer Sandwich,dinner,vegetarian,360,16,38,16,4
Mixed Vegetable Clear Soup + Roti (1),dinner,vegetarian,240,8,34,6,5
Palak Shorba + Multigrain Toast (2),dinner,vegetarian,260,10,36,8,6
Gujarati Dal + Rice + Rotli + Sabzi,dinner,vegetarian,480,16,70,14,5
Zunka + 2 Bhakri + Thecha,dinner,vegetarian,400,14,56,12,7
Bharli Vangi + 2 Jowar Roti,dinner,vegetarian,380,10,52,14,6
Usal + Pav (2) + Salad,dinner,vegetarian,420,16,56,14,7
Shukto + Rice + Moong Dal + Bhaja,dinner,vegetarian,460,14,68,14,5
Labra + Rice + Chutney,dinner,vegetarian,420,12,66,10,6
Dhokar Dalna + Rice,dinner,vegetarian,440,16,62,14,4
Grilled Paneer + Stir Fry Veggies + Quinoa,dinner,vegetarian,420,26,40,18,6
Tofu Stir Fry + Brown Rice,dinner,vegetarian,400,20,50,12,5
Sprouts Pulao + Raita + Salad,dinner,vegetarian,420,18,58,10,7
Millet Khichdi + Kadhi + Papad,dinner,vegetarian,400,14,58,10,6
Quinoa Upma + Sambar + Salad,dinner,vegetarian,380,16,50,10,7
Daliya Khichdi + Curd + Salad,dinner,vegetarian,370,14,54,8,7
Jowar Roti (2) + Bharit + Salad,dinner,vegetarian,360,12,50,10,7
Bajra Roti (2) + Ringna nu Shak + Dahi,dinner,vegetarian,380,10,52,14,6
Ragi Roti (2) + Palak Sabzi + Dal,dinner,vegetarian,400,16,56,10,8
Mixed Sprouts Curry + 2 Roti,dinner,vegetarian,420,22,52,12,8
Stuffed Karela + Dal + 2 Roti,dinner,vegetarian,420,18,56,12,8
Lauki Kofta + 2 Roti,dinner,vegetarian,440,14,56,18,4
Cabbage Sabzi + Dal + 2 Roti,dinner,vegetarian,400,16,56,10,6
Moong Dal Cheela (3) + Curd + Salad,dinner,vegetarian,340,20,40,8,5
Veg Dalia + Raita + Salad,dinner,vegetarian,350,12,52,8,7
Masala Oats + Vegetables + Curd,dinner,vegetarian,320,12,46,8,6
Paneer Steak + Grilled Veggies + Salad,dinner,vegetarian,380,24,18,24,5
Vegetable Daliya Pulao + Raita,dinner,vegetarian,360,12,56,8,6
Stuffed Paratha (Mixed Veg 2) + Curd,dinner,vegetarian,440,14,56,18,5
Hara Bhara Kebab (4 pcs) + Salad + Roti (1),dinner,vegetarian,360,16,42,14,6
Grilled Chicken Breast (200g) + Steamed Veggies,dinner,non_vegetarian,380,42,12,18,4
Chicken Tikka (8 pcs) + 2 Roti + Salad,dinner,non_vegetarian,530,42,42,20,4
Chicken Curry + 2 Roti + Raita,dinner,non_vegetarian,520,34,46,22,3
Kadhai Chicken + 2 Phulka + Salad,dinner,non_vegetarian,510,36,42,22,4
Chicken Palak + 2 Roti,dinner,non_vegetarian,480,36,40,20,5
Chicken Stew + Appam (2),dinner,non_vegetarian,440,30,52,14,3
Chicken Clear Soup + Grilled Veggies + Rice,dinner,non_vegetarian,360,28,38,10,4
Butter Chicken + 1 Naan,dinner,non_vegetarian,540,34,38,28,2
Chicken Handi + 2 Roti,dinner,non_vegetarian,520,34,44,22,3
Tandoori Chicken (Quarter) + Green Salad,dinner,non_vegetarian,380,40,8,22,3
Chicken Do Pyaza + 2 Roti + Onion Salad,dinner,non_vegetarian,500,32,46,20,4
Chicken Malai Curry + Jeera Rice,dinner,non_vegetarian,560,34,62,20,3
Chicken Pepper Fry + 2 Roti,dinner,non_vegetarian,480,36,40,20,3
Chettinad Chicken + Rice (Small),dinner,non_vegetarian,500,34,52,18,3
Grilled Fish (200g) + Steamed Veggies + Salad,dinner,non_vegetarian,360,40,12,16,5
Fish Curry + Rice + Salad,dinner,non_vegetarian,500,32,60,14,4
Prawn Stir Fry + Steamed Rice (Small),dinner,non_vegetarian,440,30,50,14,3
Fish Fry (2 pcs) + Dal + Rice (Small),dinner,non_vegetarian,520,32,56,18,4
Grilled Salmon + Sweet Potato + Salad,dinner,non_vegetarian,460,38,36,18,5
Kerala Fish Molee + Appam (2),dinner,non_vegetarian,480,30,50,18,2
Bengali Fish Curry + Rice (Small),dinner,non_vegetarian,480,28,56,14,3
Goan Fish Curry + Rice (Small),dinner,non_vegetarian,480,30,54,16,3
Prawn Masala + 2 Roti,dinner,non_vegetarian,440,28,40,18,3
Surmai Fry + Green Salad + Roti (1),dinner,non_vegetarian,380,32,26,18,4
Mutton Keema + 2 Roti + Salad,dinner,non_vegetarian,540,36,42,26,4
Mutton Curry + 2 Roti + Raita,dinner,non_vegetarian,560,34,44,28,3
Mutton Rogan Josh + Rice (Small),dinner,non_vegetarian,540,32,52,24,3
Mutton Korma + 2 Roti,dinner,non_vegetarian,580,34,44,30,2
Lamb Chops (Grilled 3 pcs) + Salad,dinner,non_vegetarian,420,36,6,28,3
Egg Curry (2 eggs) + Rice (Small),dinner,non_vegetarian,460,18,60,16,3
Egg Bhurji + 2 Roti + Salad,dinner,non_vegetarian,420,20,40,20,3
Egg Fried Rice + Stir Fry Veggies,dinner,non_vegetarian,470,18,60,18,4
Omelette (2 eggs) + 2 Roti + Salad,dinner,non_vegetarian,400,20,38,18,3
Egg Masala + Parotta (2),dinner,non_vegetarian,500,18,56,22,2
Chicken Soup + Brown Bread (2 slices),dinner,non_vegetarian,300,24,30,10,3
Chicken Clear Soup + Grilled Veggies,dinner,non_vegetarian,260,26,16,10,4
Fish Soup + Multigrain Bread (1),dinner,non_vegetarian,280,24,28,8,3
Grilled Chicken Salad Bowl,dinner,non_vegetarian,320,34,16,14,5
Egg White Omelette (4 whites) + Salad + Roti,dinner,non_vegetarian,280,24,30,6,4
Baked Chicken Thigh + Salad + Rice (Small),dinner,non_vegetarian,480,34,40,22,3
Turkey Meatballs + Whole Wheat Pasta,dinner,non_vegetarian,520,36,58,16,5
Chicken Stir Fry + Noodles,dinner,non_vegetarian,480,28,56,16,3
Chicken Shawarma Plate + Hummus + Salad,dinner,non_vegetarian,500,34,42,22,4
Malabar Chicken Curry + Idiappam (3),dinner,non_vegetarian,480,30,54,16,3
Chicken Rasam + Rice + Salad,dinner,non_vegetarian,420,28,56,10,4
Andhra Chicken Curry + 2 Roti,dinner,non_vegetarian,500,34,42,22,3
Bengali Kosha Mangsho + Rice (Small),dinner,non_vegetarian,540,32,54,22,3
Fish Tikka + Green Salad + Roti (1),dinner,non_vegetarian,340,32,24,14,4
Pork Vindaloo + Rice (Small) [Goan],dinner,non_vegetarian,520,30,52,22,3
Chicken Chettinad Dry + Parotta (2),dinner,non_vegetarian,540,32,52,24,2
Prawn Curry + Appam (2),dinner,non_vegetarian,440,26,52,14,2
Egg Roast (Kerala) + Porotta (2),dinner,non_vegetarian,500,18,56,22,2
Duck Roast + Rice (Small) [Kerala],dinner,non_vegetarian,520,30,52,22,3
